,use,var,jllable
0,1.4432236109999999,1.726307635,0
1,1.535501389,1.9076011119999998,0
2,1.628095139,1.49805743,0
3,2.372148611,3.2795256580000003,1
4,2.263806944,2.7084145210000004,1
5,2.140057639,1.8037833509999999,0
6,2.140723611,3.071998991,1
7,1.8520791669999999,2.726080643,1
8,1.90898125,2.566285162,1
9,2.028682639,2.162115814,0
10,1.888460417,1.48603112,0
11,2.4282729169999997,3.253969455,1
12,1.6692236109999998,2.945392932,1
13,2.3449770830000003,2.426202526,1
14,1.5511277780000001,2.035728736,0
15,1.64296875,2.195893596,0
16,1.8670340280000002,1.665201056,0
17,2.0185729169999997,2.54524618,1
18,2.307281944,2.695218174,1
19,2.105841667,1.8206437659999999,0
20,2.155889583,1.980100676,0
21,2.4614145830000003,2.473358045,1
22,2.6906145830000003,2.4752337769999997,1
23,2.060620139,1.913034941,0
24,2.06694375,2.102168695,0
25,2.362879167,3.159276058,1
26,2.264831944,2.371274925,1
27,2.567213889,1.85038298,0
28,2.25290625,1.954955302,0
29,2.485398611,1.964975139,0
30,2.141229861,1.40119039,0
