,use,var,jllable,localminute,
0,1.263576389,0.597329856,0,2018/1/1 23:59,1
1,1.264067361,0.746128278,0,2018/1/2 23:59,2
2,1.023898611,0.288973405,0,2018/1/3 23:59,3
3,1.513125,1.541594563,1,2018/1/4 23:59,4
4,0.980954861,0.180836728,0,2018/1/5 23:59,5
5,0.958413194,0.160596402,0,2018/1/6 23:59,6
6,1.390391667,1.316998508,1,2018/1/7 23:59,7
7,1.282765972,1.15962986,1,2018/1/8 23:59,1
8,1.029486806,0.423199104,0,2018/1/9 23:59,2
9,0.85045,0.120194357,0,2018/1/10 23:59,3
10,0.993422917,0.518609659,0,2018/1/11 23:59,4
11,1.429213194,1.215007528,1,2018/1/12 23:59,5
12,1.108777083,0.43249459,0,2018/1/13 23:59,6
13,1.250023611,1.388413333,1,2018/1/14 23:59,7
14,0.960716667,0.28259999,0,2018/1/15 23:59,1
15,1.6638,1.284316208,1,2018/1/16 23:59,2
16,1.013409028,0.146590642,0,2018/1/17 23:59,3
17,1.111934722,0.857093723,0,2018/1/18 23:59,4
18,1.123550694,0.834060505,0,2018/1/19 23:59,5
19,1.215602778,0.795616544,0,2018/1/20 23:59,6
20,1.659827778,2.011072719,1,2018/1/21 23:59,7
21,0.9224625,0.449109677,0,2018/1/22 23:59,1
22,1.203489583,1.306903701,1,2018/1/23 23:59,2
23,1.189283333,0.918488327,0,2018/1/24 23:59,3
24,1.052236806,0.656454868,0,2018/1/25 23:59,4
25,1.356402083,0.725782575,0,2018/1/26 23:59,5
26,1.105657639,0.575817863,0,2018/1/27 23:59,6
27,1.248272917,1.277854582,1,2018/1/28 23:59,7
28,1.090213194,1.190913217,1,2018/1/29 23:59,1
29,0.898195139,0.098825101,0,2018/1/30 23:59,2
30,1.288369444,1.273271038,1,2018/1/31 23:59,3
31,0.971669444,0.57619457,0,2018/2/1 23:59,4
32,1.269957639,1.247877696,1,2018/2/2 23:59,5
33,1.314942361,1.385191465,1,2018/2/3 23:59,6
34,1.805219444,2.592311343,1,2018/2/4 23:59,7
35,1.280122222,1.22094179,1,2018/2/5 23:59,1
36,1.126041667,0.782888757,0,2018/2/6 23:59,2
37,1.107136806,0.7696633,0,2018/2/7 23:59,3
38,1.2601875,1.477503153,1,2018/2/8 23:59,4
39,1.138716667,1.069221061,0,2018/2/9 23:59,5
40,0.715365972,0.005371745,0,2018/2/10 23:59,6
41,0.931171528,0.327936566,0,2018/2/11 23:59,7
42,1.180224306,1.112952489,1,2018/2/12 23:59,1
43,1.187895833,1.180901486,1,2018/2/13 23:59,2
44,1.398854861,1.969120949,1,2018/2/14 23:59,3
45,1.181959722,1.377625296,1,2018/2/15 23:59,4
46,0.52555625,0.443486172,0,2018/2/17 0:12,5
47,1.166470139,2.074866523,1,2018/2/18 0:26,6
48,1.077477778,0.682440323,0,2018/2/19 0:27,7
49,0.730273611,0.367066578,0,2018/2/20 0:27,1
50,0.608970139,0.511984051,0,2018/2/21 0:27,2
51,0.551115278,0.408258817,0,2018/2/22 0:27,3
52,1.0279875,0.844693947,0,2018/2/23 0:27,4
53,1.116859028,0.592316515,0,2018/2/24 0:27,5
54,0.642822917,0.657528743,0,2018/2/25 0:27,6
55,0.765361806,1.524569787,1,2018/2/26 0:27,7
56,0.552789583,0.62777816,0,2018/2/27 0:27,1
57,0.904034722,1.836504783,1,2018/2/28 0:27,2
58,1.007090278,0.585722235,0,2018/12/1 9:37,6
59,1.441173611,1.584295151,1,2018/12/2 9:37,7
60,1.617672222,2.33074898,1,2018/12/3 9:37,1
61,1.486715278,2.56695512,1,2018/12/4 9:37,2
62,1.332532639,1.079048857,1,2018/12/5 9:37,3
63,1.259265278,1.284218563,1,2018/12/6 9:37,4
64,1.464547917,1.039846351,1,2018/12/7 9:37,5
65,1.202254167,1.002724814,0,2018/12/8 9:37,6
66,1.318963889,0.688479939,0,2018/12/9 9:37,7
67,1.486125,1.766159643,1,2018/12/10 9:37,1
68,0.977900694,0.102725881,0,2018/12/11 9:37,2
69,1.615745833,1.648167822,1,2018/12/12 9:37,3
70,1.125595139,0.144048591,0,2018/12/13 9:37,4
71,1.24140625,0.220839826,0,2018/12/14 9:37,5
72,1.832029167,2.346998492,1,2018/12/15 9:37,6
73,1.760814583,1.859625599,1,2018/12/16 9:37,7
74,1.79209375,2.146488819,1,2018/12/17 9:37,1
75,1.110920139,0.912798675,0,2018/12/18 9:37,2
76,1.156218056,0.849763781,0,2018/12/19 9:37,3
77,1.195694444,0.865393925,0,2018/12/20 9:37,4
78,1.413279861,1.915923533,1,2018/12/21 9:37,5
79,1.385615972,1.32477367,1,2018/12/22 9:37,6
80,2.348219444,2.753374876,1,2018/12/23 9:37,7
81,1.513780556,0.969927944,1,2018/12/24 9:37,1
82,1.376976389,0.251274407,0,2018/12/25 9:37,2
83,1.106086111,0.323523831,0,2018/12/26 9:37,3
84,1.2932875,0.187952085,0,2018/12/27 9:37,4
85,0.963678472,0.13316363,0,2018/12/28 9:37,5
86,1.580468056,1.689760665,1,2018/12/29 9:37,6
87,1.081726389,0.256734935,0,2018/12/30 9:37,7
88,1.062073611,0.251918035,0,2018/12/31 9:37,1
